station,id,longitude,latitude,altitude,departement
ABBEVILLE,80001005,1.835,50.106667,68,80
ACHERES,78005002,2.126,48.983167,31,78
AGENLA_GARENNE,47091001,0.594667,44.172167,58,47
AHUN_LYCEE,23001001,2.029833,46.093333,460,23
AIGUESMORTES,30003001,4.207,43.537167,1,30
AILLEVILLE_SAPC,10002001,4.685667,48.254167,195,10
AIXLES_MILLES,13001006,5.365667,43.504667,106,13
AIX_EN_PROVENCE,13001009,5.4245,43.5295,173,13
AJACCIO,20004002,8.792667,41.918,5,20
ALBA_SA,7005002,4.582833,44.538833,223,7
ALBERTVILLE_JO,73011004,6.371833,45.662333,332,73
ALBI,81004006,2.141667,43.928333,170,81
ALBON,26002003,4.822333,45.252333,153,26
ALENCON,61001001,0.110167,48.4455,143,61
ALISTRO,20303002,9.5415,42.259667,65,20
AMBERIEU,1089001,5.329333,45.9765,250,1
AMBERT,63003004,3.742667,45.516833,555,63
AMBOISE_LYCEE,37003004,0.977,47.394167,116,37
AMIENSGLISY,80379002,2.3825,49.872,60,80
ANGRIE,49008001,-0.970333,47.561667,65,49
ARBOIS_SAPC,39013004,5.740167,46.896,313,39
ARBRISSEL,35005001,-1.297333,47.927333,75,35
ARGENTAN,61006005,0.0115,48.718167,170,61
ARGENTAT,19010001,1.9375,45.101333,190,19
ARLES,13004003,4.693833,43.51,1,13
ARNAY_SAPC,21567001,4.498667,47.124833,396,21
ARVIEUX,5007003,6.728,44.796,1825,5
ASCROS,6005001,7.013667,43.922,1173,6
AUBIGNYSURNERE,18015003,2.427333,47.4995,176,18
AUBUSSON_SAPC,23008004,2.187833,45.957833,486,23
AUCH,32013005,0.601167,43.689,122,32
AUPS,83007004,6.1875,43.641,497,83
AURILLAC,15014004,2.419167,44.8915,632,15
AUTUN,71014003,4.301667,46.951667,360,71
AUXERRE,89346001,3.5455,47.8015,207,89
AUZANCES_SAPC,23013001,2.489333,46.0215,564,23
AVIGNON,84007005,4.9025,43.911333,34,84
AVIZECIVC,51029004,4.01,48.978,175,51
AVORD,18092001,2.642167,47.052167,175,18
BALEMULHOUSE,68297001,7.51,47.614333,263,68
BARCELONNETTE,4019005,6.65,44.388333,1135,4
BASTIA,20148001,9.485167,42.540667,10,20
BAUDEMONT_SAPC,71022001,4.296667,46.2765,337,71
BEAUCOUZE,49020001,-0.614333,47.479,50,49
BEAUFORTSGERV,26035001,5.139,44.778,379,26
BEAUMONT_DU_LAC,87009003,1.863167,45.8015,670,87
BEAUMONT_SAPC,37023002,1.211667,47.177167,126,37
BEAUVAISTILLE,60639001,2.127167,49.4465,89,60
BELLEGARDE,23020001,2.3,45.978333,588,23
BELLEGARDEEND,26047001,5.454333,44.535167,1017,26
BENEVENT_SAPC,23021001,1.6285,46.121,460,23
BERGERAC,24037002,0.483333,44.851667,51,24
BERGHEIMINRAE,68028001,7.345833,48.216333,309,68
BERNAY,72033002,-0.058333,48.071667,77,72
BESANCON,25056001,5.988833,47.249,307,25
BESIGNAN,26050001,5.317,44.3205,556,26
BESSEY,21065001,4.743167,47.086,593,21
BEZIERSVIAS,34209002,3.352667,43.322,15,34
BIARRITZPAYSBASQUE,64024001,-1.534333,43.469333,71,64
BIGNAN,56017002,-2.766667,47.883333,160,56
BISCARROSSE,40046001,-1.2475,44.431667,35,40
BLANCARCI,36018004,1.088333,46.625,108,36
BLOIS,41281001,1.212333,47.6785,119,41
BOEN_SUR_LIGNON,42019004,4.007333,45.756333,448,42
BOIGNEVILLE,91069001,2.381167,48.3255,115,91
BONNAT,23025001,1.916333,46.315333,382,23
BORDEAUXMERIGNAC,33281001,-0.691333,44.830667,47,33
BORMES_LES_MIMOSAS,83019002,6.379333,43.195167,88,83
BORS,16052001,0.118333,45.346667,94,16
BOURBON_SAPC,3036002,3.0495,46.58,270,3
BOURDEAUX,26056001,5.142833,44.580167,432,26
BOURGANEUF,23030004,1.725833,45.942333,513,23
BOURGARGENTAL,42023004,4.5735,45.298667,514,42
BOURGES,18033001,2.359833,47.059167,161,18
BOURGOIN,38053001,5.265,45.605,254,38
