nom_fichier,station,id,longitude,latitude,altitude,departement
ACHERES_2005_78,ACHERES,78005002,2.126,48.983167,31,78
AHUN_LYCEE_2005_23,AHUN_LYCEE,23001001,2.029833,46.093333,460,23
AIGUESMORTES_2005_30,AIGUESMORTES,30003001,4.207,43.537167,1,30
AIGUINES_SAPC_2005_83,AIGUINES_SAPC,83002004,6.244833,43.7945,563,83
AILLEVILLE_SAPC_2005_10,AILLEVILLE_SAPC,10002001,4.685667,48.254167,195,10
AIXLES_MILLES_2005_13,AIXLES_MILLES,13001006,5.365667,43.504667,106,13
AJACCIO_2005_20,AJACCIO,20004002,8.792667,41.918,5,20
ALBA_SA_2005_07,ALBA_SA,7005002,4.582833,44.538833,223,7
ALBI_2005_81,ALBI,81004006,2.141667,43.928333,170,81
ALBON_2005_26,ALBON,26002003,4.822333,45.252333,153,26
ALENCON_2005_61,ALENCON,61001001,0.110167,48.4455,143,61
ALPEDHUEZ_2005_38,ALPEDHUEZ,38191002,6.085667,45.087833,1860,38
ALTIER_2005_48,ALTIER,48004001,3.852,44.494,900,48
AMBERIEU_2005_01,AMBERIEU,1089001,5.329333,45.9765,250,1
AMBOISE_LYCEE_2005_37,AMBOISE_LYCEE,37003004,0.977,47.394167,116,37
AMILLY_2005_45,AMILLY,45004001,2.728,47.962167,91,45
ANGEAC_2005_16,ANGEAC,16012001,-0.316667,45.608333,57,16
ANTRAIGUES_SA_2005_07,ANTRAIGUES_SA,7011004,4.352167,44.712167,600,7
ARBENT_2005_01,ARBENT,1014001,5.65,46.266667,535,1
ARBOIS_SAPC_2005_39,ARBOIS_SAPC,39013004,5.740167,46.896,313,39
ARBRISSEL_2005_35,ARBRISSEL,35005001,-1.297333,47.927333,75,35
ARGENTAT_2005_19,ARGENTAT,19010001,1.9375,45.101333,190,19
ARLES_2005_13,ARLES,13004003,4.693833,43.51,1,13
ARNAY_SAPC_2005_21,ARNAY_SAPC,21567001,4.498667,47.124833,396,21
ARVIEUX_LA_CHALP_2005_05,ARVIEUX_LA_CHALP,5007001,6.736667,44.781167,1690,5
AUBIGNYSURNERE_2005_18,AUBIGNYSURNERE,18015003,2.427333,47.4995,176,18
AUBUSSON_SAPC_2005_23,AUBUSSON_SAPC,23008004,2.187833,45.957833,486,23
AUPS_2005_83,AUPS,83007004,6.1875,43.641,497,83
AURAY_2005_56,AURAY,56007001,-2.971,47.659167,26,56
AURILLAC_2005_15,AURILLAC,15014004,2.419167,44.8915,632,15
AUXERRE_2005_89,AUXERRE,89346001,3.5455,47.8015,207,89
AVORD_2005_18,AVORD,18092001,2.642167,47.052167,175,18
BAIGNES_BEL_AIR_2005_16,BAIGNES_BEL_AIR,16025003,-0.2695,45.378333,70,16
BALEMULHOUSE_2005_68,BALEMULHOUSE,68297001,7.51,47.614333,263,68
BARGEMON_2005_83,BARGEMON,83011001,6.564667,43.621833,372,83
BASTIA_2005_20,BASTIA,20148001,9.485167,42.540667,10,20
BAUDEMONT_SAPC_2005_71,BAUDEMONT_SAPC,71022001,4.296667,46.2765,337,71
