nom_fichier,station,id,longitude,latitude,altitude,departement
ABAINVILLE,ABAINVILLE,55001001.0,5.498667,48.528,298.0,55.0
ABBEVILLE,ABBEVILLE,80001005.0,1.835,50.106667,68.0,80.0
ACHERES,ACHERES,78005002.0,2.126,48.983167,31.0,78.0
AGENLA_GARENNE,AGENLA_GARENNE,47091001.0,0.594667,44.172167,58.0,47.0
AHUN_LYCEE,AHUN_LYCEE,23001001.0,2.029833,46.093333,460.0,23.0
AIGUESMORTES,AIGUESMORTES,30003001.0,4.207,43.537167,1.0,30.0
AIGUINES_SAPC,AIGUINES_SAPC,83002004.0,6.244833,43.7945,563.0,83.0
AIXLES_MILLES,AIXLES_MILLES,13001006.0,5.365667,43.504667,106.0,13.0
AJACCIO,AJACCIO,20004002.0,8.792667,41.918,5.0,20.0
ALAIGNE,ALAIGNE,11004001.0,2.098333,43.1125,293.0,11.0
ALBA_SA,ALBA_SA,7005002.0,4.582833,44.538833,223.0,7.0
ALBI,ALBI,81004006.0,2.141667,43.928333,170.0,81.0
ALBON,ALBON,26002003.0,4.822333,45.252333,153.0,26.0
ALENCON,ALENCON,61001001.0,0.110167,48.4455,143.0,61.0
ALISTRO,ALISTRO,20303002.0,9.5415,42.259667,65.0,20.0
ALLOS,ALLOS,4006004.0,6.631667,44.226667,1370.0,4.0
AMBERIEU,AMBERIEU,1089001.0,5.329333,45.9765,250.0,1.0
AMBERT,AMBERT,63003004.0,3.742667,45.516833,555.0,63.0
AMBOISE_LYCEE,AMBOISE_LYCEE,37003004.0,0.977,47.394167,116.0,37.0
AMIENSGLISY,AMIENSGLISY,80379002.0,2.3825,49.872,60.0,80.0
ANLEZY,ANLEZY,58006001.0,3.507833,46.9575,220.0,58.0
ARBENT,ARBENT,1014001.0,5.65,46.266667,535.0,1.0
ARBOIS_SAPC,ARBOIS_SAPC,39013004.0,5.740167,46.896,313.0,39.0
ARBRISSEL,ARBRISSEL,35005001.0,-1.297333,47.927333,75.0,35.0
ARGENTAN,ARGENTAN,61006005.0,0.0115,48.718167,170.0,61.0
ARGENTAT,ARGENTAT,19010001.0,1.9375,45.101333,190.0,19.0
ARGENTEUIL,ARGENTEUIL,95018002.0,2.253333,48.961667,73.0,95.0
ARGENTON,ARGENTON,36006001.0,1.518333,46.586667,108.0,36.0
ARLES,ARLES,13004003.0,4.693833,43.51,1.0,13.0
ARLESMASREY,ARLESMASREY,13004017.0,4.568333,43.693333,10.0,13.0
ARNAY_SAPC,ARNAY_SAPC,21567001.0,4.498667,47.124833,396.0,21.0
AUBAGNE,AUBAGNE,13005001.0,5.578333,43.29,131.0,13.0
AUBIGNYSURNERE,AUBIGNYSURNERE,18015003.0,2.427333,47.4995,176.0,18.0
AUBUSSON_SAPC,AUBUSSON_SAPC,23008004.0,2.187833,45.957833,486.0,23.0
AUPS,AUPS,83007004.0,6.1875,43.641,497.0,83.0
AURILLAC,AURILLAC,15014004.0,2.419167,44.8915,632.0,15.0
AUTUN,AUTUN,71014003.0,4.301667,46.951667,360.0,71.0
AUXERRE,AUXERRE,89346001.0,3.5455,47.8015,207.0,89.0
AUZANCES_SAPC,AUZANCES_SAPC,23013001.0,2.489333,46.0215,564.0,23.0
AVIGNON,AVIGNON,84007005.0,4.9025,43.911333,34.0,84.0
AVORD,AVORD,18092001.0,2.642167,47.052167,175.0,18.0
BAIGNES_BEL_AIR,BAIGNES_BEL_AIR,16025003.0,-0.2695,45.378333,70.0,16.0
BAIGNEUX_LES_JUIFS,BAIGNEUX_LES_JUIFS,21043001.0,4.645167,47.600333,415.0,21.0
BALEMULHOUSE,BALEMULHOUSE,68297001.0,7.51,47.614333,263.0,68.0
BANDESAPT,BANDESAPT,88033002.0,6.991833,48.345833,590.0,88.0
BARCELONNETTE,BARCELONNETTE,4019005.0,6.65,44.388333,1135.0,4.0
BARGEMON,BARGEMON,83011001.0,6.564667,43.621833,372.0,83.0
BASSURELS,BASSURELS,48020003.0,3.630667,44.1965,1042.0,48.0
BASTIA,BASTIA,20148001.0,9.485167,42.540667,10.0,20.0
BASTIAFANGO,BASTIAFANGO,20033011.0,9.444833,42.704333,26.0,20.0
BAUD,BAUD,56010001.0,-3.015,47.87,51.0,56.0
BAUDEMONT_SAPC,BAUDEMONT_SAPC,71022001.0,4.296667,46.2765,337.0,71.0
BAZUSAURE,BAZUSAURE,65075001.0,0.3485,42.857833,767.0,65.0
BEAUBERY,BEAUBERY,71025001.0,4.400167,46.406,465.0,71.0
BEAUCOUZE,BEAUCOUZE,49020001.0,-0.614333,47.479,50.0,49.0
BEAUMONT_EN_A,BEAUMONT_EN_A,14055002.0,0.090833,49.256167,140.0,14.0
BEAUMONT_SAPC,BEAUMONT_SAPC,37023002.0,1.211667,47.177167,126.0,37.0
BEAUVAISTILLE,BEAUVAISTILLE,60639001.0,2.127167,49.4465,89.0,60.0
BELCAIRE,BELCAIRE,11028001.0,1.968167,42.8195,980.0,11.0
BELFORT,BELFORT,90010001.0,6.876,47.629333,422.0,90.0
BELINBELIET,BELINBELIET,33042001.0,-0.791,44.4935,36.0,33.0
BELLAC,BELLAC,87011002.0,1.052667,46.120333,241.0,87.0
BELLEGARDEEND,BELLEGARDEEND,26047001.0,5.454333,44.535167,1017.0,26.0
BELLEME_SAPC,BELLEME_SAPC,61426001.0,0.55,48.373833,168.0,61.0
BELLEY,BELLEY,1034004.0,5.688,45.769333,330.0,1.0
BELMONT_LIMOU,BELMONT_LIMOU,12025002.0,2.728,43.822333,410.0,12.0
BERGERAC,BERGERAC,24037002.0,0.483333,44.851667,51.0,24.0
BERGHEIMINRAE,BERGHEIMINRAE,68028001.0,7.345833,48.216333,309.0,68.0
BERNAY,BERNAY,72033002.0,-0.058333,48.071667,77.0,72.0
BERREDESALPES,BERREDESALPES,6015001.0,7.321667,43.838333,715.0,6.0
BESANCON,BESANCON,25056001.0,5.988833,47.249,307.0,25.0
BESIGNAN,BESIGNAN,26050001.0,5.317,44.3205,556.0,26.0
BESSEY,BESSEY,21065001.0,4.743167,47.086,593.0,21.0
BEZIERSVIAS,BEZIERSVIAS,34209002.0,3.352667,43.322,15.0,34.0
BIARRITZPAYSBASQUE,BIARRITZPAYSBASQUE,64024001.0,-1.534333,43.469333,71.0,64.0
BIGNAN,BIGNAN,56017002.0,-2.766667,47.883333,160.0,56.0
BLACE,BLACE,69023002.0,4.642,46.0345,340.0,69.0
BLANCARCI,BLANCARCI,36018004.0,1.088333,46.625,108.0,36.0
BOEN_SUR_LIGNON,BOEN_SUR_LIGNON,42019004.0,4.007333,45.756333,448.0,42.0
BOIGNEVILLE,BOIGNEVILLE,91069001.0,2.381167,48.3255,115.0,91.0
BONNAT,BONNAT,23025001.0,1.916333,46.315333,382.0,23.0
BORMES_LES_MIMOSAS,BORMES_LES_MIMOSAS,83019002.0,6.379333,43.195167,88.0,83.0
BORS,BORS,16052001.0,0.118333,45.346667,94.0,16.0
BOURAIL,BOURAIL,98803001.0,165.493833,-21.554833,25.0,988.0
BOURBONLANCY,BOURBONLANCY,71047004.0,3.7385,46.6105,210.0,71.0
BOURBON_SAPC,BOURBON_SAPC,3036002.0,3.0495,46.58,270.0,3.0
BOURDEAUX,BOURDEAUX,26056001.0,5.142833,44.580167,432.0,26.0
BOURDONS_SAPC,BOURDONS_SAPC,52061002.0,5.349667,48.162333,304.0,52.0
BOURGANEUF,BOURGANEUF,23030004.0,1.725833,45.942333,513.0,23.0
BOURGARGENTAL,BOURGARGENTAL,42023004.0,4.5735,45.298667,514.0,42.0
BOURGES,BOURGES,18033001.0,2.359833,47.059167,161.0,18.0
BOURGOIN,BOURGOIN,38053001.0,5.265,45.605,254.0,38.0
BOURG_ST_MAURICE,BOURG_ST_MAURICE,73054001.0,6.763333,45.612667,865.0,73.0
BRANCEILLES,BRANCEILLES,19029001.0,1.704833,45.011167,190.0,19.0
BRASPISTOLET_SAPC,BRASPISTOLET_SAPC,97420180.0,55.5875,-20.969,556.0,974.0
BRAYETLU,BRAYETLU,95101001.0,1.668333,49.141667,30.0,95.0
BREIL_SUR_ROYA,BREIL_SUR_ROYA,6023004.0,7.513667,43.940167,305.0,6.0
BRESTGUIPAVAS,BRESTGUIPAVAS,29075001.0,-4.391167,48.453833,92.0,29.0
BRETIGNY_SAPC,BRETIGNY_SAPC,91103001.0,2.326,48.6005,78.0,91.0
BRIVE,BRIVE,19031008.0,1.473333,45.146667,115.0,19.0
BUGEAT,BUGEAT,19033001.0,1.930333,45.602667,694.0,19.0
BUHY,BUHY,95119001.0,1.6945,49.194,90.0,95.0
BUIS_BARONNIES,BUIS_BARONNIES,26063002.0,5.270667,44.277833,390.0,26.0
CAENCARPIQUET,CAENCARPIQUET,14137001.0,-0.456167,49.18,67.0,14.0
CALVI,CALVI,20050001.0,8.7915,42.5295,57.0,20.0
CAMBRAIEPINOY,CAMBRAIEPINOY,62298001.0,3.163833,50.2255,76.0,62.0
CAMPS,CAMPS,19034001.0,1.988333,44.983667,519.0,19.0
CANALA,CANALA,98804001.0,165.969167,-21.526333,35.0,988.0
CANDSA,CANDSA,49054002.0,-1.014,47.560333,57.0,49.0
CANNES,CANNES,6029003.0,7.066667,43.516667,10.0,6.0
CAPDELAHEVE,CAPDELAHEVE,76552001.0,0.071167,49.509,100.0,76.0
CAP_CORSE,CAP_CORSE,20107001.0,9.3595,43.003833,72.0,20.0
CAP_PERTUSATO,CAP_PERTUSATO,20041001.0,9.178333,41.374833,107.0,20.0
CARBINICOL_DE_MELA,CARBINICOL_DE_MELA,20061002.0,9.184333,41.669667,1105.0,20.0
CARCASSONNE,CARCASSONNE,11069001.0,2.2955,43.215333,128.0,11.0
CARSPACH,CARSPACH,68062001.0,7.212833,47.632,332.0,68.0
CASSIS,CASSIS,13022003.0,5.503167,43.222167,212.0,13.0
CASTANET,CASTANET,81061001.0,2.023333,43.986667,275.0,81.0
CASTELNAU_MAGNOAC,CASTELNAU_MAGNOAC,65129003.0,0.5175,43.277833,298.0,65.0
